Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Exclude from Simulation,Exclude from Position Files,Footprint,Datasheet
"R1,R2",2,5.1k,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0402_1005Metric,
J7,1,MC-314C-4P16,,,,,${EXCLUDE_FROM_POS_FILES},zxkmm_kicad_lib_connector:USB_C_Receptacle_MC-314C-4P16,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
